SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000332,8.00,7.25,8.40,6.75,7.00,6.75,6.83,,,,
52000333,7.00,6.00,5.40,6.25,7.00,5.75,6.33,,,,
52000334,9.00,7.75,9.40,9.50,8.00,8.25,8.58,,,,
52000335,7.80,5.25,7.20,6.75,7.00,6.00,6.58,,,,
52000336,5.40,4.00,4.20,,,,,5.25,4.25,7.50,5.67
52000337,8.80,6.25,8.80,7.25,8.25,5.75,7.08,,,,
52000338,7.40,6.50,5.60,6.00,7.00,6.75,6.58,,,,
52000339,9.00,7.50,8.40,5.75,5.50,6.75,6.00,,,,
52000340,8.60,6.50,8.80,8.75,8.00,5.75,7.50,,,,
52000341,8.60,7.25,8.40,8.50,8.25,7.00,7.92,,,,
52000342,7.20,5.75,5.80,,,,,8.25,7.75,9.50,8.50
52000343,8.00,5.00,7.20,4.75,6.25,5.75,5.58,,,,
52000344,6.20,7.50,5.60,,,,,7.25,7.50,10.00,8.25
52000345,7.40,6.00,8.00,,,,,7.75,6.75,9.00,7.83
52000346,7.40,7.75,9.60,,,,,6.00,5.75,7.75,6.50
52000347,8.20,6.00,,6.50,7.25,5.50,6.42,,,,
52000348,6.60,5.75,6.20,7.00,7.00,7.25,7.08,,,,
52000349,7.00,6.75,4.60,,,,,5.75,7.00,7.75,6.83
52000350,8.80,6.75,8.60,5.75,7.75,7.50,7.00,,,,
52000351,7.00,6.25,5.60,5.25,7.25,6.75,6.42,,,,
52000352,7.80,7.50,,8.75,7.75,8.75,8.42,,,,
52000353,6.60,6.75,5.80,,,,,6.75,6.00,8.25,7.00
52000354,8.40,6.00,7.20,7.50,7.50,6.75,7.25,,,,
52000355,9.00,7.50,,,,,,7.25,6.25,9.00,7.50
52000356,8.40,5.75,,8.00,6.75,9.00,7.92,,,,
52000357,7.80,6.25,9.00,,,,,7.00,6.50,10.00,7.83
