SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000244,7.6,6.75,10.0,,,,,9.5,7.5,9.5,8.83
52000245,7.2,5.25,5.2,6.25,6.75,4.75,5.92,,,,
52000246,6.4,6.5,8.4,7.75,7.0,6.25,7.0,,,,
52000247,7.6,6.0,7.4,8.5,7.75,7.5,7.92,,,,
52000248,4.2,4.5,8.2,,,,,8.0,5.75,9.0,7.58
52000249,6.8,4.5,4.0,,,,,2.75,6.0,8.5,5.75
52000250,7.8,6.0,3.4,7.25,7.75,6.5,7.17,,,,
52000251,8.0,7.25,5.6,7.75,6.0,7.5,7.08,,,,
52000252,6.8,6.0,7.0,6.25,6.75,6.5,6.5,,,,
52000253,8.4,7.0,9.2,7.5,8.0,6.0,7.17,,,,
52000254,6.4,4.75,1.4,,,,,4.5,5.25,8.75,6.17
52000255,6.8,5.0,7.6,,,,,5.5,4.25,8.0,5.92
52000256,8.2,4.5,8.0,7.5,4.75,7.0,6.42,,,,
52000257,5.0,3.5,4.2,,,,,5.25,4.25,5.0,4.83
52000258,8.4,7.0,8.8,8.25,6.25,5.0,6.5,,,,
52000259,8.4,6.25,,8.25,7.5,6.25,7.33,,,,
52000260,7.6,6.25,7.4,7.0,4.25,5.25,5.5,,,,
52000261,7.2,7.5,9.0,,,,,7.5,5.5,8.75,7.25
52000262,7.0,5.0,8.0,,,,,7.75,6.5,9.0,7.75
52000263,6.4,5.75,7.0,,,,,5.75,5.75,8.5,6.67
52000264,7.8,7.0,8.2,6.5,8.75,6.25,7.17,,,,
52000265,6.8,6.75,6.8,,,,,8.25,7.5,8.75,8.17
52000266,7.0,5.5,3.2,7.25,7.5,6.5,7.08,,,,
52000267,9.0,7.5,,8.75,9.5,7.0,8.42,,,,
52000268,8.0,7.0,9.6,7.25,8.5,8.0,7.92,,,,
52000269,8.0,6.75,9.0,7.75,6.25,6.5,6.83,,,,
52000270,7.2,6.5,5.6,,,,,6.75,5.75,9.75,7.42
52000271,7.6,7.5,9.8,,,,,7.5,7.0,9.5,8.0
52000272,6.2,6.5,6.4,5.0,7.0,5.0,5.67,,,,
52000273,8.2,7.0,9.2,8.5,6.5,7.75,7.58,,,,
52000274,6.2,5.5,3.4,3.75,4.25,4.5,4.17,,,,
52000275,7.8,6.5,6.6,7.75,7.75,7.75,7.75,,,,
52000276,5.6,4.75,,4.0,4.0,5.5,4.5,,,,
52000277,8.8,8.5,9.8,,,,,8.25,6.25,9.5,8.0
52000278,6.0,6.0,5.0,,,,,5.25,6.75,9.0,7.0
52000279,7.6,6.5,8.0,6.25,6.5,4.5,5.75,,,,
52000280,6.2,6.5,8.4,6.75,5.25,5.5,5.83,,,,
52000281,7.6,6.5,8.8,7.0,7.5,6.25,6.92,,,,
52000282,6.8,6.25,6.0,,,,,7.25,5.75,7.75,6.92
52000284,5.2,4.25,6.6,,,,,4.75,5.0,6.0,5.25
52000285,9.0,6.75,9.2,8.75,6.25,6.5,7.17,,,,
52000286,7.0,6.25,7.6,7.0,6.25,7.25,6.83,,,,
52000287,7.2,7.0,8.8,7.5,5.5,5.75,6.25,,,,
52000288,7.2,6.75,9.0,7.0,7.75,5.25,6.67,,,,
52000289,8.0,6.25,9.4,8.0,8.5,5.75,7.42,,,,
52000290,6.2,5.0,8.6,7.0,6.0,5.25,6.08,,,,
52000291,8.6,7.0,7.8,6.0,8.25,6.0,6.75,,,,
52000292,8.6,5.75,9.6,9.25,7.75,8.0,8.33,,,,
52000293,7.0,5.5,8.6,4.5,5.5,6.25,5.42,,,,
52000294,7.6,7.5,9.0,7.5,8.0,6.75,7.42,,,,
52000295,9.0,6.25,8.6,7.75,5.5,4.25,5.83,,,,
52000296,5.8,4.75,4.0,3.75,6.5,4.25,4.83,,,,
52000297,8.4,5.25,8.0,7.25,8.5,8.0,7.92,,,,
52000298,8.0,6.0,7.4,6.25,4.25,5.0,5.17,,,,
52000299,5.2,5.5,5.8,4.25,3.25,5.25,4.25,,,,
52000300,8.2,6.75,7.4,7.0,8.5,6.5,7.33,,,,
52000301,7.2,6.75,6.2,6.5,5.75,6.25,6.17,,,,
52000302,7.8,6.25,7.4,6.0,7.75,7.75,7.17,,,,
52000303,8.6,7.0,8.6,8.0,6.25,6.0,6.75,,,,
52000304,5.4,5.25,4.4,,,,,4.5,5.25,6.5,5.42
52000305,6.4,7.5,6.0,,,,,6.75,6.5,9.0,7.42
52000306,8.0,6.0,9.6,8.0,7.0,6.5,7.17,,,,
52000307,8.2,7.0,9.0,,,,,7.0,5.5,9.0,7.17
52000308,6.6,5.5,6.6,,,,,4.75,6.25,7.75,6.25
52000309,7.6,6.5,7.6,7.5,5.5,5.25,6.08,,,,
52000310,7.0,5.5,6.0,,,,,8.75,7.5,9.75,8.67
52000311,6.8,7.5,8.0,,,,,9.0,7.25,9.5,8.58
52000312,7.0,6.25,7.6,,,,,6.25,7.75,8.0,7.33
52000313,8.8,7.83,,7.5,8.5,9.5,8.5,,,,
52000314,6.8,5.75,5.6,7.0,5.75,5.5,6.08,,,,
52000315,5.8,5.25,7.6,7.25,7.25,6.5,7.0,,,,
52000316,7.2,4.0,8.0,8.0,3.75,5.0,5.58,,,,
52000317,7.4,4.0,,7.0,5.0,5.0,5.67,,,,
52000318,8.4,7.25,,,,,,8.5,7.25,9.75,8.5
52000319,8.2,7.25,7.2,7.0,7.0,6.25,6.75,,,,
52000320,5.2,5.5,3.2,,,,,6.75,6.75,8.0,7.17
52000321,7.4,5.75,7.4,,,,,7.0,5.25,7.75,6.67
52000322,6.0,7.75,6.6,,,,,8.25,5.75,9.0,7.67
52000323,5.8,7.5,9.0,,,,,6.0,7.25,9.5,7.58
52000324,7.8,5.75,9.0,7.25,6.75,6.5,6.83,,,,
52000325,6.6,7.5,5.8,,,,,7.75,7.0,9.25,8.0
52000327,6.8,5.75,5.8,5.5,6.5,6.5,6.17,,,,
52000328,6.2,7.0,4.4,,,,,5.25,5.75,8.5,6.5
52000329,6.0,8.0,7.0,,,,,8.75,8.25,9.5,8.83
52000330,8.0,7.25,,7.75,8.0,6.5,7.42,,,,
52000331,7.2,5.75,6.8,7.25,8.5,6.25,7.33,,,,
52000332,8.0,7.25,8.4,6.75,7.0,6.75,6.83,,,,
52000333,7.0,6.0,5.4,6.25,7.0,5.75,6.33,,,,
52000334,9.0,7.75,9.4,9.5,8.0,8.25,8.58,,,,
52000335,7.8,5.25,7.2,6.75,7.0,6.0,6.58,,,,
52000336,5.4,4.0,4.2,,,,,5.25,4.25,7.5,5.67
52000337,8.8,6.25,8.8,7.25,8.25,5.75,7.08,,,,
52000338,7.4,6.5,5.6,6.0,7.0,6.75,6.58,,,,
52000339,9.0,7.5,8.4,5.75,5.5,6.75,6.0,,,,
52000340,8.6,6.5,8.8,8.75,8.0,5.75,7.5,,,,
